customer_id,avg_monthly_credit,income_cv,income_stability_index,emi_to_income_ratio,rent_to_income_ratio,discretionary_to_income_ratio,bounce_count,window_dressing_flag,total_txn_count,avg_txn_amount,count_salary,count_business_income
CUST000001,93832.81111111112,0.06535252004167523,0.9386564364262088,0.0,0.24674232053156483,0.09779576629970586,1.0,0,190,11955.437526315789,18.0,0.0
CUST000002,74886.345,0.5953522862575035,0.6268208022855407,0.1115419491883185,0.0,0.08107659680813638,0.0,1,187,8596.765721925134,18.0,0.0
CUST000003,95473.59777777777,0.04489194134132238,0.9570367618265915,0.0,0.0,0.09939353448710277,1.0,0,162,11664.361234567901,18.0,0.0
CUST000004,119288.2088888889,0.04997610548766771,0.9524026259012285,0.0,0.0,0.09255232993690314,0.0,0,135,17377.148074074077,18.0,0.0
CUST000005,67265.18444444444,0.05163161770759115,0.9509033231426222,0.12985411670617253,0.2535266469201683,0.10052342415341627,1.0,0,196,9167.90724489796,18.0,0.0
CUST000006,39449.28388888889,0.04440455742658854,0.9574833745115003,0.1309240777515311,0.0,0.08376294846416801,0.0,0,158,5459.07341772152,18.0,0.0
CUST000007,73597.24722222221,0.04895992388768338,0.9533252674647218,0.0,0.0,0.09605589490458374,0.0,0,162,8962.966296296296,18.0,0.0
CUST000008,95876.47166666666,0.4069780772431088,0.7107431282507553,0.13266775351656343,0.27568029391801485,0.11845309122272259,1.0,0,296,8903.94310810811,0.0,96.0
CUST000009,82972.75444444445,0.3712771657437206,0.7292471755391944,0.0,0.2787424102093808,0.10085271766385322,2.0,0,254,8114.734409448819,0.0,86.0
CUST000010,28352.31111111111,0.0465872206895383,0.9554865377977341,0.12013690437934121,0.0,0.08665115679380243,1.0,0,165,3734.28303030303,18.0,0.0
CUST000011,119146.73176470588,0.23637893403311303,0.8088135218690305,0.0,0.2542654128440856,0.1085227861696821,0.0,0,201,13732.934925373134,18.0,0.0
CUST000012,130445.0561111111,0.05030635358825824,0.9521031616952597,0.0,0.0,0.11699652123862912,0.0,0,204,12856.471225490195,18.0,0.0
CUST000013,36432.07833333334,0.05319982466931371,0.9494874349357041,0.0,0.24817796026246156,0.09146196420520186,0.0,0,170,5167.679999999999,18.0,0.0
CUST000014,53874.76388888889,0.4860367387002825,0.6729308730782928,0.0,0.0,0.07185989729782265,0.0,0,230,4519.267739130434,0.0,107.0
CUST000015,46127.805,0.042954845525746625,0.9588142806852837,0.25418717987267475,0.0,0.0900038009130887,1.0,0,199,5610.806783919599,18.0,0.0
CUST000016,37225.982777777775,0.04765862700077183,0.954509392876181,0.0,0.0,0.09138584192889528,0.0,0,149,4908.069731543625,18.0,0.0
CUST000017,33602.282941176476,0.24259376629465196,0.8047682413392,0.1357520508804365,0.0,0.08322634801371426,3.0,0,157,4443.451974522293,18.0,0.0
CUST000018,82116.89235294117,0.22394772507286592,0.8170283579231021,0.0,0.0,0.08943176748537024,2.0,0,160,9510.35975,18.0,0.0
CUST000019,60061.12944444445,0.25773206040378666,0.7950819029602827,0.13039441954476141,0.0,0.08389013256521713,2.0,0,235,5591.177999999999,0.0,89.0
CUST000020,98223.55888888889,0.32483444279755364,0.7548112939216578,0.0,0.0,0.0892187010169986,0.0,0,244,7892.4789754098365,0.0,100.0
CUST000021,25800.748888888887,0.047830978155218515,0.9543523916047717,0.0,0.0,0.0854346217512894,1.0,0,149,3386.6940939597316,18.0,0.0
CUST000022,71811.2594117647,0.22279955691945538,0.8177955204034058,0.11759461839594694,0.0,0.07949734836355049,0.0,0,148,9874.321554054053,18.0,0.0
CUST000023,50393.095,0.3386060456378067,0.747045781885386,0.11644945271437156,0.0,0.0815111232556321,1.0,0,240,4530.507499999999,0.0,97.0
CUST000024,55935.74111111111,0.05144269775159258,0.9510741784962722,0.0,0.25300614294176094,0.08666572696403792,1.0,0,165,8179.190363636365,18.0,0.0
CUST000025,16691.346666666665,0.40253452139817275,0.7129949279274138,0.0,0.294694216803757,0.08620398247608275,1.0,0,235,1767.4580425531915,0.0,104.0
CUST000026,77866.82111111112,0.2891645112754431,0.7756961902485539,0.0,0.23206766898678668,0.10957643077734193,0.0,0,285,6598.077543859648,0.0,102.0
CUST000027,64299.793333333335,0.05627000435885829,0.9467276320196053,0.12614951553153428,0.0,0.0861209178933943,0.0,0,166,8452.272831325301,18.0,0.0
CUST000028,57299.59611111111,0.3717154309350458,0.7290141799442602,0.0,0.0,0.0779491629730607,0.0,0,220,5053.586045454545,0.0,103.0
CUST000029,24269.306111111113,0.03992491119951217,0.9616078903682956,0.0,0.0,0.08908156532699477,1.0,0,150,3173.7616000000003,18.0,0.0
CUST000030,70881.68666666668,0.2925417228247523,0.7736694161133735,0.0,0.0,0.08745372844933869,1.0,0,228,6086.314692982456,0.0,92.0
CUST000031,33590.57,0.04334125847402313,0.9584591732359808,0.1266167525257502,0.0,0.08026864219465298,0.0,0,156,4677.688653846154,18.0,0.0
CUST000032,80146.03555555556,0.04637545207910615,0.9556799120363919,0.13351533073681388,0.23717831499588138,0.09758657640402868,1.0,0,205,10336.173317073171,18.0,0.0
CUST000033,33152.63705882353,0.24213208565652708,0.8050673608285801,0.0,0.2423617512602094,0.08442453242518212,1.0,0,168,4453.2488095238095,18.0,0.0
CUST000034,40905.02444444444,0.04156197249013347,0.9600964958515446,0.266014427676122,0.0,0.07691625060349826,0.0,0,166,5956.548313253013,18.0,0.0
CUST000035,62533.317647058815,0.25170743212125246,0.7989087340524238,0.0,0.0,0.09496417157009196,2.0,0,156,7469.30955128205,18.0,0.0
CUST000036,95560.97444444445,0.057424342551221724,0.9456941359864334,0.0,0.0,0.10444298408798375,0.0,0,165,11513.634303030303,18.0,0.0
CUST000037,49863.44388888889,0.04647961785107513,0.9555847843969287,0.0,0.24692939435624622,0.07889861509432,1.0,0,165,7215.468424242425,18.0,0.0
CUST000038,75696.20222222223,0.047650501268607,0.9545167961921397,0.12070494010693213,0.2696679542795791,0.08372786851393776,1.0,0,190,10572.688263157896,18.0,0.0
CUST000039,34596.52111111111,0.060391183697447885,0.9430482027520528,0.0,0.0,0.07340457063939217,2.0,0,127,5273.79811023622,18.0,0.0
CUST000040,43339.67111111111,0.37993534962672676,0.7246716306459577,0.0,0.0,0.08515318682621394,0.0,0,216,3919.181851851852,0.0,98.0
CUST000041,56368.78666666667,0.31624531362978847,0.7597367980306924,0.1283613855012116,0.25849816253707625,0.10440054807321655,1.0,0,286,5291.779895104894,0.0,103.0
CUST000042,96345.76166666666,0.052006469233983346,0.9505644967451086,0.1362496249114251,0.0,0.09225779758252758,1.0,0,165,12915.712666666666,18.0,0.0
CUST000043,57815.18277777778,0.05157523837874536,0.9509543050307452,0.0,0.2428563146845058,0.080151658355717,0.0,0,162,8498.883086419753,18.0,0.0
CUST000044,168694.11666666667,0.395987020848998,0.7163390383041166,0.11831735157990263,0.0,0.11323631750181895,0.0,0,311,12024.454823151123,0.0,101.0
CUST000045,26831.78888888889,0.43952019244620316,0.6946759102424827,0.14020032622995693,0.0,0.07712425270025894,0.0,0,249,2361.180441767068,0.0,106.0
CUST000046,48488.948333333334,0.4932687476946142,0.6696718199880979,0.11746936790533494,0.0,0.07748332618336501,0.0,1,168,6208.071369047619,18.0,0.0
CUST000047,15845.149444444445,0.37857081303197887,0.7253889249262692,0.0,0.27818962052494933,0.09249753228020816,1.0,0,245,1597.4843673469384,0.0,106.0
CUST000048,42219.65666666666,0.07243347678943471,0.9324587693716161,0.0,0.0,0.08428899008626603,2.0,0,154,5353.898116883117,18.0,0.0
CUST000049,139622.50666666668,0.05424971541839102,0.948541873310479,0.2588551188372559,0.0,0.10422383271286666,1.0,0,228,15027.908201754388,18.0,0.0
CUST000050,28381.09388888889,0.3792518478342946,0.7250307487861648,0.0,0.0,0.09753427599660486,1.0,0,233,2407.509055793991,0.0,109.0
CUST000051,120399.12722222222,0.30373267312938435,0.7670284105097046,0.0,0.2305077340699992,0.10365003614897929,1.0,0,296,9769.619527027027,0.0,108.0
CUST000052,76250.95722222222,0.3929820294930366,0.7178843508583819,0.12874046032923026,0.0,0.09199177776442195,1.0,0,265,6323.774830188679,0.0,105.0
CUST000053,56394.99529411765,0.24169016541259453,0.8053538860619995,0.12235532956971192,0.24863133453686106,0.09121521755393146,1.0,0,177,7921.960790960452,18.0,0.0
CUST000054,89222.65833333334,0.06117837643805412,0.9423486401566106,0.13268131908570682,0.2521427775088397,0.09875559450098578,0.0,0,198,12033.538535353535,18.0,0.0
CUST000055,104495.23055555555,0.04850388086304504,0.953739912890813,0.13554334204992824,0.0,0.08491663481823453,1.0,0,171,13427.56187134503,18.0,0.0
CUST000056,79683.47166666666,0.05802040471930664,0.945161355621776,0.1306462279097068,0.25793209771252645,0.11412301877827738,0.0,0,209,10312.575502392343,18.0,0.0
CUST000057,72614.83777777778,0.03763638158665555,0.9637287374898077,0.13087401757528772,0.0,0.08972630540124994,1.0,0,172,9276.966802325582,18.0,0.0
CUST000058,32822.75833333333,0.06772797977473874,0.9365681324666348,0.1303547428516105,0.0,0.07688738665659914,1.0,0,152,4694.382434210526,18.0,0.0
CUST000059,66576.34055555557,0.04695042812396639,0.9551550609630134,0.13043383204542305,0.0,0.11050986222474611,0.0,0,184,8082.1457608695655,18.0,0.0
CUST000060,50074.71055555555,0.3967128539010321,0.7159667767121858,0.13652496954023555,0.0,0.08217580089412843,0.0,0,249,4411.524457831325,0.0,102.0
CUST000061,28088.783333333333,0.06709821199679729,0.9371208655000551,0.24700925497939966,0.2502750702583732,0.07244012586281474,0.0,0,184,4313.313586956522,18.0,0.0
CUST000062,46694.12388888889,0.049731919578291595,0.9526241713234075,0.0,0.0,0.08895907589990237,0.0,0,159,5756.376226415095,18.0,0.0
CUST000063,87412.32055555556,0.3385291567636241,0.7470886942932643,0.13923191745338567,0.0,0.09889984552584398,0.0,0,256,7609.7791796875,0.0,89.0
CUST000064,65981.02764705883,0.22449156417518487,0.816665487339309,0.0,0.0,0.078922170024508,1.0,0,139,8710.396330935253,18.0,0.0
CUST000065,134478.41166666668,0.3555082085918307,0.7377306855550877,0.12668871952479144,0.0,0.08382792841582118,1.0,0,266,11016.547180451127,0.0,101.0
CUST000066,59844.53666666666,0.05304109544633491,0.94963055508878,0.0,0.0,0.08451813005932428,2.0,0,146,8009.268493150685,18.0,0.0
CUST000067,72541.50444444445,0.04514682650325747,0.9568033645049614,0.1381404505993611,0.24834351534601937,0.1089177392608069,0.0,0,211,9254.106208530806,18.0,0.0
CUST000068,61429.59722222222,0.32269342082345776,0.7560330944849175,0.14908686570059534,0.0,0.09011005597871638,1.0,0,229,5984.651441048036,0.0,94.0
CUST000069,82014.54722222223,0.06734739079309963,0.936902088884991,0.12402491468569751,0.0,0.100911250941017,0.0,0,173,10452.754508670521,18.0,0.0
CUST000070,57878.88111111111,0.324655156745305,0.7549134541981575,0.1181287041312497,0.24791894445168283,0.08740620475405411,1.0,0,264,5737.686931818182,0.0,99.0
