customer_id,rank,percentile,lead_priority_score,intent_probability,affordability_score,estimated_monthly_income,preferred_product,product_fit_multiplier,occupation_type,applied_flag,converted_flag
CUST003651,1,99.98,0.4348699548673204,0.7094972451837422,0.6129269110195062,243786.6,home,1.0,business_owner,1,1
CUST002172,2,99.96000000000001,0.4275635510628416,0.9067942024982116,0.4286464737632931,173717.77,mortgage,1.1,self_employed,1,0
CUST000680,3,99.94,0.42519380321784844,0.5567303427905199,0.7637338412105112,265510.56,home,1.0,salaried,1,0
CUST002683,4,99.92,0.42234617649909045,0.9107339208661872,0.42158424183811755,150567.25,mortgage,1.1,salaried,1,1
CUST003440,5,99.9,0.40223360965687666,0.9454970018130612,0.4254202910062789,151855.95,auto,1.0,salaried,1,1
CUST002562,6,99.88,0.40152664016629747,0.7309468366964912,0.4776730435315975,169409.98,home,1.15,salaried,0,0
CUST002237,7,99.86,0.3759645311141411,0.5429349047376679,0.6594924273232163,230491.22,personal,1.05,salaried,1,1
CUST001355,8,99.83999999999999,0.34871596931751925,0.7407801882355184,0.42794680877803354,152704.72,mortgage,1.1,salaried,1,0
CUST000718,9,99.82,0.3439640522571285,0.7021896395022648,0.4259521346509404,152034.62,home,1.15,salaried,0,0
CUST004986,10,99.8,0.3427719175054559,0.8848378334281087,0.35216716817883076,146174.48,mortgage,1.1,salaried,1,1
CUST002580,11,99.78,0.332558981219068,0.4307917145294663,0.7719716280576722,268278.0,auto,1.0,salaried,0,0
CUST001977,12,99.76,0.3253709922212869,0.7655296383789295,0.40478790096884343,144924.61,personal,1.05,salaried,0,0
CUST000667,13,99.74,0.32337808806667817,0.3929883044738356,0.7155386922411759,249319.66,home,1.15,self_employed,0,0
CUST003000,14,99.72,0.31371255966103573,0.5074319837893793,0.5887958896730802,206741.1,personal,1.05,salaried,0,0
CUST001179,15,99.7,0.30712365976355066,0.6226932875631248,0.44838017790495194,159569.2,mortgage,1.1,business_owner,1,0
CUST004558,16,99.68,0.3060686179825618,0.9056143081560636,0.2938851804081674,107667.44,home,1.15,salaried,1,1
CUST002432,17,99.66000000000001,0.30565415962288145,0.6128104648453477,0.49877437993820495,176498.86,home,1.0,salaried,1,1
CUST002612,18,99.64,0.30403137168101124,0.7924656033311883,0.3836524517947438,137824.27,auto,1.0,salaried,1,0
CUST003185,19,99.62,0.29426197815869104,0.332915666686232,0.8035395026551833,320348.38,mortgage,1.1,salaried,0,0
CUST003506,20,99.6,0.2938360355794274,0.6774872342449848,0.39428590710829,161570.03,mortgage,1.1,salaried,1,0
CUST000104,21,99.58,0.2920039832558183,0.8863249438956939,0.32945477306817444,137490.67,auto,1.0,salaried,1,1
CUST002189,22,99.56,0.2871342131568673,0.7623749354492804,0.3766312345875515,135465.53,auto,1.0,salaried,1,1
CUST002864,23,99.53999999999999,0.2859597668282334,0.5938216750216034,0.41874636320426184,149613.88,home,1.15,self_employed,1,1
CUST000166,24,99.52,0.2837915824039387,0.8243689720390677,0.3129573727184358,114074.64,mortgage,1.1,self_employed,0,0
CUST001642,25,99.5,0.28298497120301763,0.4440062418490483,0.5794041625601247,203586.0,mortgage,1.1,business_owner,1,1
CUST000265,26,99.48,0.2827652228189165,0.7131106485303913,0.3965236298204929,165071.72,personal,1.0,self_employed,1,1
CUST004885,27,99.46000000000001,0.28207557798751737,0.2686434076071594,1.0,344882.9,personal,1.05,salaried,0,0
CUST000949,28,99.44,0.28064850566089217,0.754408161130049,0.354296659125796,127962.35,personal,1.05,salaried,1,1
CUST004060,29,99.42,0.28018810689860596,0.6742596721100002,0.41554925867328973,148539.83,home,1.0,salaried,1,1
CUST002976,30,99.4,0.2778723360189488,0.5264572942898629,0.527815530400752,250463.84,auto,1.0,salaried,1,0
CUST001347,31,99.38,0.27630565399773765,0.6135878578794103,0.4503114760984083,181625.55,auto,1.0,self_employed,1,0
CUST000573,32,99.36,0.2714619152060567,0.4551769605096114,0.5679882326417585,199750.88,personal,1.05,business_owner,1,0
CUST003875,33,99.33999999999999,0.27095105317309787,0.8884351762247493,0.27725054774953994,102079.125,mortgage,1.1,business_owner,1,1
CUST003910,34,99.32,0.2651317453683021,0.8381990772741846,0.28755562486366926,105541.06,mortgage,1.1,salaried,1,1
CUST003848,35,99.3,0.26496116139488435,0.4760179217120749,0.5566201382542678,225286.08,auto,1.0,business_owner,0,0
CUST001996,36,99.28,0.2647256139603075,0.4819200773850065,0.4993766816288124,176701.2,mortgage,1.1,salaried,0,0
CUST002951,37,99.26,0.2633576403210853,0.2887653040956816,0.9120127542532689,315324.06,auto,1.0,salaried,0,0
CUST002330,38,99.24,0.26275962347914067,0.4957982424077526,0.5299728821205518,216916.8,personal,1.0,salaried,1,1
CUST001780,39,99.22,0.26227537499602643,0.7001436517729407,0.34054748405348856,140540.23,mortgage,1.1,salaried,1,1
CUST001327,40,99.2,0.26055476360504753,0.5255287657284853,0.49579543613348714,237024.9,personal,1.0,salaried,1,1
CUST003874,41,99.18,0.2598559269673981,0.7725390632264405,0.3203486360592046,116557.695,personal,1.05,salaried,1,1
CUST003566,42,99.16,0.2566089297122695,0.6142799184365298,0.36325165946777604,130970.734,home,1.15,self_employed,1,1
CUST001592,43,99.14,0.2543269688980831,0.6968989162459679,0.3317645213273517,120392.8,mortgage,1.1,salaried,1,1
CUST002532,44,99.11999999999999,0.253381401759773,0.6840632115046287,0.35276801422021864,127448.81,personal,1.05,salaried,1,1
CUST003565,45,99.1,0.2514423041684549,0.4197102757784593,0.5990854136275108,210197.81,auto,1.0,salaried,1,1
CUST000968,46,99.08,0.2479671179883314,0.7562881342481195,0.3122608292984391,113840.64,personal,1.05,salaried,1,0
CUST003220,47,99.06,0.24695697127906352,0.5810026702657266,0.4250530744826278,175389.5,personal,1.0,salaried,1,0
CUST002207,48,99.03999999999999,0.24152416046275196,0.6687826342688048,0.31403478250846917,114436.59,home,1.15,salaried,1,1
CUST001677,49,99.02,0.24044773297010216,0.2531972552197536,0.9044246578627254,312774.88,personal,1.05,salaried,0,0
CUST004964,50,99.0,0.2403618048273958,0.5858965537494069,0.3729510444513177,134229.19,mortgage,1.1,self_employed,1,1
CUST004797,51,98.98,0.23897545196839984,0.5051032606571882,0.4301108858368874,153431.73,mortgage,1.1,salaried,0,0
CUST000107,52,98.96000000000001,0.23686042191370318,0.4315379649857763,0.47728265178145823,169278.83,home,1.15,salaried,0,0
CUST000969,53,98.94,0.23622917434363122,0.7160082776430234,0.3299252001963681,119774.89,home,1.0,self_employed,1,0
CUST000739,54,98.92,0.23607472805344767,0.833776858994833,0.24620780728775474,91650.484,home,1.15,salaried,1,1
CUST001596,55,98.9,0.23590962281473069,0.4383730929987859,0.5381480446277848,189726.23,auto,1.0,self_employed,0,0
CUST000962,56,98.88,0.23585911205850849,0.6332682694413173,0.33858853339960904,122685.29,mortgage,1.1,salaried,1,1
CUST003200,57,98.86,0.23584850846151867,0.2899963206546405,0.7393463975025989,257317.73,mortgage,1.1,salaried,0,0
CUST002077,58,98.83999999999999,0.2353944393841934,0.5455520742245952,0.392253929560944,140713.89,mortgage,1.1,business_owner,1,1
CUST003993,59,98.82,0.23518330350296246,0.5973349170506109,0.3423660907805783,123954.34,home,1.15,salaried,1,1
CUST000312,60,98.8,0.23328830462652322,0.4501683232894832,0.4711132835457717,191246.89,mortgage,1.1,self_employed,1,0
CUST000711,61,98.78,0.23165750320021666,0.6484197671924431,0.32478610436857996,134646.52,mortgage,1.1,salaried,1,1
CUST003201,62,98.76,0.22981292828197875,0.5673410184818197,0.40507017965481906,145019.44,auto,1.0,salaried,1,0
CUST004453,63,98.74000000000001,0.22750499077570055,0.4539135259677178,0.45564343659084894,187252.02,mortgage,1.1,self_employed,1,0
CUST003129,64,98.72,0.22665092867112815,0.5508325034857825,0.39187598033856375,140586.92,personal,1.05,salaried,1,1
CUST004632,65,98.7,0.22654787590470452,0.8804302705922461,0.24506186238788377,91265.51,personal,1.05,salaried,0,0
CUST004757,66,98.68,0.22567580229636822,0.5799205285589837,0.35377230183455877,127786.195,mortgage,1.1,business_owner,1,1
CUST001655,67,98.66,0.22533954472329515,0.8005482024045069,0.24476656072129926,91166.305,home,1.15,salaried,1,0
CUST002993,68,98.64,0.22431368874404276,0.7133179361817718,0.3144652298310944,137319.73,personal,1.0,self_employed,1,1
CUST002304,69,98.61999999999999,0.2242264326108055,0.4808339739213355,0.4055027664288764,168094.31,home,1.15,self_employed,1,1
CUST000751,70,98.6,0.2225992565972596,0.4589128507385769,0.4850577974423839,230481.52,home,1.0,salaried,1,0
CUST000937,71,98.58,0.22188475959209075,0.5930388954281863,0.37414874690788263,154870.02,personal,1.0,salaried,1,1
CUST001255,72,98.56,0.22039928213809243,0.6619070966707697,0.30270559836822847,151836.7,mortgage,1.1,salaried,1,1
CUST001679,73,98.54,0.21969007309103403,0.9160247732718502,0.22840936964156414,85671.195,personal,1.05,salaried,1,1
CUST003267,74,98.52,0.21891681079075956,0.5726326136674244,0.34754444260947903,144129.83,mortgage,1.1,salaried,1,1
