customer_id,intent_probability,preferred_product
CUST000001,0.40398049127240304,personal
CUST000002,0.33479162651905264,home
CUST000003,0.5357808386021056,personal
CUST000004,0.39838864256057965,mortgage
CUST000005,0.35077125673382714,home
CUST000006,0.28637384218482614,personal
CUST000007,0.35425712037790047,personal
CUST000008,0.5132749578295043,home
CUST000009,0.38778841317154233,home
CUST000010,0.2740713055465324,mortgage
CUST000011,0.3552864520288666,personal
CUST000012,0.21967632279952612,personal
CUST000013,0.4581431195839965,home
CUST000014,0.1631159770076248,personal
CUST000015,0.5754708343705592,personal
CUST000016,0.38052796440099373,mortgage
CUST000017,0.32642524738927425,mortgage
CUST000018,0.39105807013589455,mortgage
CUST000019,0.41195149024494565,home
CUST000020,0.44642818618392477,mortgage
CUST000021,0.5801405695104084,mortgage
CUST000022,0.26677712332619863,auto
CUST000023,0.3858394409497513,home
CUST000024,0.2959090724108205,home
CUST000025,0.6569551758694117,mortgage
CUST000026,0.31735524466768916,home
CUST000027,0.32130030514119173,personal
CUST000028,0.37517133584164025,home
CUST000029,0.30085991670855344,mortgage
CUST000030,0.31100863162803094,auto
CUST000031,0.226607162097171,auto
CUST000032,0.43039830856653416,personal
CUST000033,0.35234732756148296,home
CUST000034,0.3358623822775554,personal
CUST000035,0.25259169259234837,mortgage
CUST000036,0.5731046198233666,home
CUST000037,0.4372315393964021,home
CUST000038,0.5058600772103701,home
CUST000039,0.2681037264028458,personal
CUST000040,0.5262080934331365,home
CUST000041,0.5807063103532623,auto
CUST000042,0.29810657579419564,mortgage
CUST000043,0.31043015325256507,mortgage
CUST000044,0.32299978833862386,auto
CUST000045,0.11169459319348146,personal
CUST000046,0.20561488454110674,mortgage
CUST000047,0.4267604743306275,personal
CUST000048,0.3487218436773039,auto
CUST000049,0.30152925696025984,personal
CUST000050,0.38567988391818536,auto
CUST000051,0.19020579439546242,home
CUST000052,0.3064015340750953,home
CUST000053,0.48247855812456825,home
CUST000054,0.3010014259704844,home
CUST000055,0.4928894748847032,mortgage
CUST000056,0.48548870474191713,auto
CUST000057,0.6124068342262797,mortgage
CUST000058,0.1776385556535377,auto
CUST000059,0.38805942649420844,mortgage
CUST000060,0.574755680222142,mortgage
CUST000061,0.26021171944920013,home
